Release Period,State,Measure ID,Bottom-box Percentage,Middle-box Percentage,Top-box Percentage,Measure,Type,State Name,Region,Start Date,End Date,Response Rate (%)
07_2015,GA,H_CLEAN_HSP,10,18,72,Cleanliness of Hospital Environment,Individual Item,Georgia,South Atlantic,2013-10-01,2014-09-30,25.423728813559322
07_2015,GA,H_COMP_1,5,16,79,Communication with Nurses,Composite Measure,Georgia,South Atlantic,2013-10-01,2014-09-30,25.423728813559322
07_2015,GA,H_COMP_2,4,13,83,Communication with Doctors,Composite Measure,Georgia,South Atlantic,2013-10-01,2014-09-30,25.423728813559322
07_2015,GA,H_COMP_3,11,23,66,Responsiveness of Hospital Staff,Composite Measure,Georgia,South Atlantic,2013-10-01,2014-09-30,25.423728813559322
07_2015,GA,H_COMP_5,20,16,64,Communication about Medicines,Composite Measure,Georgia,South Atlantic,2013-10-01,2014-09-30,25.423728813559322
07_2015,GA,H_COMP_6,16,0,84,Discharge Information,Composite Measure,Georgia,South Atlantic,2013-10-01,2014-09-30,25.423728813559322
07_2015,GA,H_COMP_7,6,44,50,Care Transition,Composite Measure,Georgia,South Atlantic,2013-10-01,2014-09-30,25.423728813559322
07_2015,GA,H_HSP_RATING,9,22,69,Overall Hospital Rating,Global Item,Georgia,South Atlantic,2013-10-01,2014-09-30,25.423728813559322
07_2015,GA,H_QUIET_HSP,7,26,67,Quietness of Hospital Environment,Individual Item,Georgia,South Atlantic,2013-10-01,2014-09-30,25.423728813559322
07_2015,GA,H_RECMND,6,25,69,Willingness to Recommend the Hospital,Global Item,Georgia,South Atlantic,2013-10-01,2014-09-30,25.423728813559322
07_2015,HI,H_CLEAN_HSP,6,19,75,Cleanliness of Hospital Environment,Individual Item,Hawaii,Pacific,2013-10-01,2014-09-30,29.692307692307693
07_2015,HI,H_COMP_1,4,17,79,Communication with Nurses,Composite Measure,Hawaii,Pacific,2013-10-01,2014-09-30,29.692307692307693
07_2015,HI,H_COMP_2,4,15,81,Communication with Doctors,Composite Measure,Hawaii,Pacific,2013-10-01,2014-09-30,29.692307692307693
07_2015,HI,H_COMP_3,9,23,68,Responsiveness of Hospital Staff,Composite Measure,Hawaii,Pacific,2013-10-01,2014-09-30,29.692307692307693
07_2015,HI,H_COMP_5,16,18,66,Communication about Medicines,Composite Measure,Hawaii,Pacific,2013-10-01,2014-09-30,29.692307692307693
07_2015,HI,H_COMP_6,15,0,85,Discharge Information,Composite Measure,Hawaii,Pacific,2013-10-01,2014-09-30,29.692307692307693
07_2015,HI,H_COMP_7,4,43,53,Care Transition,Composite Measure,Hawaii,Pacific,2013-10-01,2014-09-30,29.692307692307693
07_2015,HI,H_HSP_RATING,8,21,71,Overall Hospital Rating,Global Item,Hawaii,Pacific,2013-10-01,2014-09-30,29.692307692307693
07_2015,HI,H_QUIET_HSP,11,31,58,Quietness of Hospital Environment,Individual Item,Hawaii,Pacific,2013-10-01,2014-09-30,29.692307692307693
07_2015,HI,H_RECMND,4,24,72,Willingness to Recommend the Hospital,Global Item,Hawaii,Pacific,2013-10-01,2014-09-30,29.692307692307693
07_2015,IA,H_CLEAN_HSP,5,15,80,Cleanliness of Hospital Environment,Individual Item,Iowa,West North Central,2013-10-01,2014-09-30,37.31395348837209
07_2015,IA,H_COMP_1,2,16,82,Communication with Nurses,Composite Measure,Iowa,West North Central,2013-10-01,2014-09-30,37.31395348837209
07_2015,IA,H_COMP_2,3,13,84,Communication with Doctors,Composite Measure,Iowa,West North Central,2013-10-01,2014-09-30,37.31395348837209
07_2015,IA,H_COMP_3,5,24,71,Responsiveness of Hospital Staff,Composite Measure,Iowa,West North Central,2013-10-01,2014-09-30,37.31395348837209
07_2015,IA,H_COMP_5,14,19,67,Communication about Medicines,Composite Measure,Iowa,West North Central,2013-10-01,2014-09-30,37.31395348837209
07_2015,IA,H_COMP_6,12,0,88,Discharge Information,Composite Measure,Iowa,West North Central,2013-10-01,2014-09-30,37.31395348837209
07_2015,IA,H_COMP_7,3,41,56,Care Transition,Composite Measure,Iowa,West North Central,2013-10-01,2014-09-30,37.31395348837209
07_2015,IA,H_HSP_RATING,5,19,76,Overall Hospital Rating,Global Item,Iowa,West North Central,2013-10-01,2014-09-30,37.31395348837209
07_2015,IA,H_QUIET_HSP,6,29,65,Quietness of Hospital Environment,Individual Item,Iowa,West North Central,2013-10-01,2014-09-30,37.31395348837209
07_2015,IA,H_RECMND,3,22,75,Willingness to Recommend the Hospital,Global Item,Iowa,West North Central,2013-10-01,2014-09-30,37.31395348837209
07_2015,ID,H_CLEAN_HSP,6,15,79,Cleanliness of Hospital Environment,Individual Item,Idaho,Mountain,2013-10-01,2014-09-30,36.970588235294116
07_2015,ID,H_COMP_1,3,16,81,Communication with Nurses,Composite Measure,Idaho,Mountain,2013-10-01,2014-09-30,36.970588235294116
07_2015,ID,H_COMP_2,3,13,84,Communication with Doctors,Composite Measure,Idaho,Mountain,2013-10-01,2014-09-30,36.970588235294116
07_2015,ID,H_COMP_3,6,21,73,Responsiveness of Hospital Staff,Composite Measure,Idaho,Mountain,2013-10-01,2014-09-30,36.970588235294116
07_2015,ID,H_COMP_5,15,17,68,Communication about Medicines,Composite Measure,Idaho,Mountain,2013-10-01,2014-09-30,36.970588235294116
07_2015,ID,H_COMP_6,12,0,88,Discharge Information,Composite Measure,Idaho,Mountain,2013-10-01,2014-09-30,36.970588235294116
07_2015,ID,H_COMP_7,5,39,56,Care Transition,Composite Measure,Idaho,Mountain,2013-10-01,2014-09-30,36.970588235294116
07_2015,ID,H_HSP_RATING,6,20,74,Overall Hospital Rating,Global Item,Idaho,Mountain,2013-10-01,2014-09-30,36.970588235294116
07_2015,ID,H_QUIET_HSP,8,28,64,Quietness of Hospital Environment,Individual Item,Idaho,Mountain,2013-10-01,2014-09-30,36.970588235294116
07_2015,ID,H_RECMND,3,22,75,Willingness to Recommend the Hospital,Global Item,Idaho,Mountain,2013-10-01,2014-09-30,36.970588235294116
07_2015,IL,H_CLEAN_HSP,8,18,74,Cleanliness of Hospital Environment,Individual Item,Illinois,East North Central,2013-10-01,2014-09-30,30.167701863354036
07_2015,IL,H_COMP_1,4,16,80,Communication with Nurses,Composite Measure,Illinois,East North Central,2013-10-01,2014-09-30,30.167701863354036
07_2015,IL,H_COMP_2,4,14,82,Communication with Doctors,Composite Measure,Illinois,East North Central,2013-10-01,2014-09-30,30.167701863354036
07_2015,IL,H_COMP_3,9,23,68,Responsiveness of Hospital Staff,Composite Measure,Illinois,East North Central,2013-10-01,2014-09-30,30.167701863354036
07_2015,IL,H_COMP_5,18,18,64,Communication about Medicines,Composite Measure,Illinois,East North Central,2013-10-01,2014-09-30,30.167701863354036
07_2015,IL,H_COMP_6,14,0,86,Discharge Information,Composite Measure,Illinois,East North Central,2013-10-01,2014-09-30,30.167701863354036
07_2015,IL,H_COMP_7,5,43,52,Care Transition,Composite Measure,Illinois,East North Central,2013-10-01,2014-09-30,30.167701863354036
07_2015,IL,H_HSP_RATING,8,21,71,Overall Hospital Rating,Global Item,Illinois,East North Central,2013-10-01,2014-09-30,30.167701863354036
07_2015,IL,H_QUIET_HSP,9,30,61,Quietness of Hospital Environment,Individual Item,Illinois,East North Central,2013-10-01,2014-09-30,30.167701863354036
07_2015,IL,H_RECMND,5,25,70,Willingness to Recommend the Hospital,Global Item,Illinois,East North Central,2013-10-01,2014-09-30,30.167701863354036
07_2015,IN,H_CLEAN_HSP,7,17,76,Cleanliness of Hospital Environment,Individual Item,Indiana,East North Central,2013-10-01,2014-09-30,32.26890756302521
07_2015,IN,H_COMP_1,3,15,82,Communication with Nurses,Composite Measure,Indiana,East North Central,2013-10-01,2014-09-30,32.26890756302521
07_2015,IN,H_COMP_2,3,14,83,Communication with Doctors,Composite Measure,Indiana,East North Central,2013-10-01,2014-09-30,32.26890756302521
07_2015,IN,H_COMP_3,6,23,71,Responsiveness of Hospital Staff,Composite Measure,Indiana,East North Central,2013-10-01,2014-09-30,32.26890756302521
07_2015,IN,H_COMP_5,16,18,66,Communication about Medicines,Composite Measure,Indiana,East North Central,2013-10-01,2014-09-30,32.26890756302521
07_2015,IN,H_COMP_6,12,0,88,Discharge Information,Composite Measure,Indiana,East North Central,2013-10-01,2014-09-30,32.26890756302521
07_2015,IN,H_COMP_7,4,42,54,Care Transition,Composite Measure,Indiana,East North Central,2013-10-01,2014-09-30,32.26890756302521
07_2015,IN,H_HSP_RATING,6,19,75,Overall Hospital Rating,Global Item,Indiana,East North Central,2013-10-01,2014-09-30,32.26890756302521
07_2015,IN,H_QUIET_HSP,8,30,62,Quietness of Hospital Environment,Individual Item,Indiana,East North Central,2013-10-01,2014-09-30,32.26890756302521
07_2015,IN,H_RECMND,4,23,73,Willingness to Recommend the Hospital,Global Item,Indiana,East North Central,2013-10-01,2014-09-30,32.26890756302521
07_2015,KS,H_CLEAN_HSP,7,17,76,Cleanliness of Hospital Environment,Individual Item,Kansas,West North Central,2013-10-01,2014-09-30,36.12359550561798
07_2015,KS,H_COMP_1,3,16,81,Communication with Nurses,Composite Measure,Kansas,West North Central,2013-10-01,2014-09-30,36.12359550561798
07_2015,KS,H_COMP_2,3,11,86,Communication with Doctors,Composite Measure,Kansas,West North Central,2013-10-01,2014-09-30,36.12359550561798
07_2015,KS,H_COMP_3,6,22,72,Responsiveness of Hospital Staff,Composite Measure,Kansas,West North Central,2013-10-01,2014-09-30,36.12359550561798
